Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,Cho_0,RT_0,OB_0,AS_0,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
52,2,4,0,0,0,0,0,116,114,78,111,2.500999999999998,1.0979999999999994,6.221999999999995,0.183,12,5,17,2,15,5,31,2,0,0.5,15,17,25.61999999999998,20,117,2.25,6,L,0.21303787878787878,0.2196,0.20070967741935483,0.0915
52,3,5,0,0,0,0,0,62,114,22,45,6.587999999999995,0.6099999999999999,1.7079999999999989,0.5489999999999999,14,1,8,5,32,1,9,5,0,0,17,14,6.160999999999995,12,32,4.25,6,L,0.19920312499999998,0.6099999999999999,0.18977777777777777,0.1098
52,3,6,0,0,0,0,0,10,1,106,9,0.9759999999999995,11.71199999999999,4.879999999999996,1.524999999999999,4,17,14,6,4,56,22,6,0,0.5,38,74,10.552999999999992,18,61,5,6,L,0.17736923076923075,0.20914285714285713,0.2218181818181818,0.25416666666666665
52,4,7,0,0,0,0,0,13,14,92,98,4.818999999999996,0.6099999999999999,0.6099999999999999,2.1349999999999985,11,3,5,11,17,3,5,14,0,0,17,22,7.990999999999993,18,38,4.25,6,L,0.23290909090909087,0.20333333333333334,0.122,0.1525
52,4,8,0,0,0,0,0,35,31,114,2,28.791999999999977,3.1109999999999975,0.9149999999999996,0.061,18,11,5,1,127,12,5,1,0,0,18,1,5.7339999999999955,11,27,4.5,6,L,0.22419480519480517,0.25925,0.183,0.061
52,5,9,0,0,0,0,0,102,80,40,9,0.366,0.427,0.061,1.646999999999999,3,2,1,7,4,2,1,8,0,0,16,78,27.449999999999978,19,136,4,6,L,0.19868571428571427,0.2135,0.061,0.20587499999999997
52,5,10,0,0,0,0,0,60,93,88,53,0.244,0.061,0.244,0.244,2,1,2,1,2,1,2,1,0,0,14,22,27.754999999999978,18,121,3.5,6,L,0.2276341463414634,0.061,0.122,0.244
53,1,1,0,0,0,0,0,82,54,22,116,5.855999999999995,2.9279999999999977,2.0129999999999986,1.8299999999999987,19,11,11,4,27,12,14,4,0,0,15,15,25.43699999999998,20,125,3.75,6,L,0.20587499999999997,0.244,0.1437857142857143,0.4574999999999999
53,1,2,0,0,0,0,0,102,88,97,98,1.8909999999999987,0.9759999999999995,0.9149999999999996,0.7319999999999998,10,8,5,4,11,10,5,5,0,0.5,15,32,35.196999999999974,20,164,2.25,6,L,0.21193142857142855,0.09759999999999999,0.183,0.1464
53,2,3,0,0,0,0,0,96,18,117,113,7.8689999999999936,3.2939999999999974,0.427,0.305,18,14,4,1,48,19,4,1,0,0,13,112,8.295999999999994,18,42,3.25,6,L,0.1796111111111111,0.17336842105263153,0.10675,0.305
53,2,4,0,0,0,0,0,97,30,66,5,79.60500000000175,0.061,0.6709999999999998,0.5489999999999999,19,1,2,2,319,1,2,2,0,0,17,3,9.759999999999993,17,44,4.25,6,L,0.2461845730027548,0.061,0.3354999999999999,0.27449999999999997
53,3,5,0,0,0,0,0,102,93,21,14,0.366,0.7319999999999998,1.3419999999999992,4.574999999999997,1,6,7,15,1,6,9,26,0,0,17,106,13.35899999999999,19,67,4.25,6,L,0.20183823529411765,0.122,0.1491111111111111,0.17596153846153845
53,3,6,0,0,0,0,0,79,25,31,7,0.183,0.244,1.0979999999999994,0.244,1,1,5,1,1,1,5,1,0,0,19,58,50.99599999999996,20,216,4.75,6,L,0.23584792626728107,0.244,0.2196,0.244
53,4,7,0,0,0,0,0,75,16,83,35,0.6709999999999998,1.3419999999999992,0.183,2.1959999999999984,2,6,2,8,2,6,2,13,0,0,17,97,13.785999999999989,17,71,4.25,6,L,0.19804109589041094,0.22366666666666665,0.0915,0.16892307692307693
53,4,8,0,0,0,0,0,45,114,11,48,0.244,2.439999999999998,0.122,0.6709999999999998,2,12,1,6,2,13,1,6,0,0,18,115,15.676999999999987,20,85,4.5,6,L,0.183,0.18769230769230769,0.122,0.11183333333333333
53,5,9,0,0,0,0,0,47,21,50,114,0.305,0.7929999999999997,6.526999999999995,0.427,1,4,13,4,1,4,32,4,0,0,17,38,11.101999999999991,16,56,4.25,6,L,0.20012280701754384,0.19824999999999998,0.20396874999999998,0.10675
53,5,10,0,0,0,0,0,72,65,86,29,0.427,2.561999999999998,1.524999999999999,1.3419999999999992,1,11,9,6,1,12,9,6,0,0,16,85,23.179999999999982,18,101,4,6,L,0.2314411764705882,0.2135,0.16944444444444445,0.22366666666666665
54,1,1,0,0,0,0,0,64,22,40,61,0.427,0.061,1.0369999999999995,0.9149999999999996,1,1,3,4,1,1,5,4,0,0,19,71,28.974999999999977,19,122,4.75,6,L,0.23904065040650405,0.061,0.20739999999999997,0.22874999999999998
54,1,2,0,0,0,0,0,84,27,12,119,1.0979999999999994,1.8299999999999987,0.122,8.966999999999993,7,4,1,16,7,4,1,40,0,0,16,113,25.74199999999998,20,116,4,6,L,0.21821138211382113,0.4574999999999999,0.122,0.22417499999999999
54,2,3,0,0,0,0,0,98,90,107,13,1.3419999999999992,2.9279999999999977,6.099999999999995,1.585999999999999,5,11,16,9,7,17,35,9,0,0,13,33,5.611999999999996,13,24,3.25,6,L,0.22432258064516128,0.17223529411764704,0.1742857142857143,0.17622222222222222
54,2,4,0,0,0,0,0,74,39,11,116,4.7579999999999965,0.7929999999999997,2.500999999999998,9.759999999999993,13,5,9,14,24,5,9,34,0,0,16,3,11.589999999999991,16,56,4,6,L,0.20434999999999998,0.1586,0.27788888888888885,0.2870588235294117
54,3,5,0,0,0,0,0,100,53,98,77,1.585999999999999,0.488,1.3419999999999992,0.8539999999999996,11,3,7,2,12,3,7,2,0,0,11,23,15.493999999999987,18,78,2.75,6,L,0.18977777777777777,0.16266666666666665,0.1917142857142857,0.42699999999999994
54,3,6,0,0,0,0,0,28,1,88,34,0.427,9.820999999999993,2.500999999999998,0.6099999999999999,2,18,11,3,2,48,11,4,0,0,19,94,18.543999999999986,18,84,4.75,6,L,0.22059302325581392,0.20460416666666667,0.22736363636363635,0.1525
54,4,7,0,0,0,0,0,114,59,42,83,1.8909999999999987,0.183,0.061,1.4029999999999991,8,1,1,5,9,1,1,5,0,0,14,38,24.82699999999998,19,133,3.5,6,L,0.18815492957746477,0.183,0.061,0.28059999999999996
54,4,8,0,0,0,0,0,26,18,25,62,0.6709999999999998,0.061,4.6969999999999965,0.5489999999999999,3,1,14,3,3,1,20,3,0,0,20,70,20.861999999999984,18,99,5,6,L,0.2111078431372549,0.061,0.23484999999999998,0.183
54,5,9,0,0,0,0,0,32,80,81,11,1.8909999999999987,0.305,0.427,0.122,11,3,2,1,11,3,2,1,0,0,17,25,40.62599999999997,20,176,4.25,6,L,0.22736363636363635,0.10166666666666667,0.2135,0.122
54,5,10,0,0,0,0,0,38,61,63,93,0.427,4.269999999999997,0.6709999999999998,0.366,1,13,5,3,1,20,5,3,0,0,16,101,10.308999999999992,19,56,4,6,L,0.18835087719298244,0.21349999999999997,0.13419999999999999,0.122
